Scale,Item,Label
Avoidance,Q1,I prefer not to show a partner how I feel deep down.
Avoidance,Q3,I am very comfortable being close to romantic partners.
Avoidance,Q5,Just when my partner starts to get close to me I find myself pulling away
Avoidance,Q7,I get uncomfortable when a romantic partner wants to be very close.
Avoidance,Q9,I don't feel comfortable opening up to romantic partners.
Avoidance,Q11,"I want to get close to my partner, but I keep pulling back."
Avoidance,Q13,I am nervous when partners get too close to me.
Avoidance,Q15,I feel comfortable sharing my private thoughts and feelings with my partner.
Avoidance,Q17,I try to avoid getting too close to my partner.
Avoidance,Q19,I find it relatively easy to get close to my partner.
Avoidance,Q21,I find it difficult to allow myself to depend on romantic partners.
Avoidance,Q23,I prefer not to be too close to romantic partners.
Avoidance,Q25,I tell my partner just about everything.
Avoidance,Q27,I usually discuss my problems and concerns with my partner.
Avoidance,Q29,I feel comfortable depending on romantic partners.
Avoidance,Q31,"I don't mind asking romantic partners for comfort, advice, or help."
Avoidance,Q33,It helps to turn to my romantic partner in times of need.
Avoidance,Q35,"I turn to my partner for many things, including comfort and reassurance."
Anxiety,Q2,I worry about being abandoned.
Anxiety,Q4,I worry a lot about my relationships.
Anxiety,Q6,I worry that romantic partners won't care about me as much as I care about them.
Anxiety,Q8,I worry a fair amount about losing my partner.
Anxiety,Q10,I often wish that my partner's feelings for me were as strong as my feelings for him/her.
Anxiety,Q12,"I often want to merge completely with romantic partners, and this sometimes scares them away."
Anxiety,Q14,I worry about being alone.
Anxiety,Q16,My desire to be very close sometimes scares people away.
Anxiety,Q18,I need a lot of reassurance that I am loved by my partner.
Anxiety,Q20,"Sometimes I feel that I force my partners to show more feeling, more commitment."
Anxiety,Q22,I do not often worry about being abandoned. 
Anxiety,Q24,"If I can't get my partner to show interest in me, I get upset or angry."
Anxiety,Q26,I find that my partner(s) don't want to get as close as I would like.
Anxiety,Q28,"When I'm not involved in a relationship, I feel somewhat anxious and insecure."
Anxiety,Q30,I get frustrated when my partner is not around as much as I would like.
Anxiety,Q32,I get frustrated if romantic partners are not available when I need them.
Anxiety,Q34,"When romantic partners disapprove of me, I feel really bad about myself."
Anxiety,Q36,I resent it when my partner spends time away from me.
