respondent_id,age,gender,education,employment,marital_status,fwb1_1,fwb1_2,fwb1_3,fwb1_4,fwb1_5,fwb1_6,fwb2_1,fwb2_2,fwb2_3,fwb2_4,raise2000,financial_knowledge,debt_collector,hardship_food,hardship_doctor
7740,35-44,Male,High school degree/GED,Work full-time for an employer or the military,Divorced/Separated,2,2,3,3,3,4,2,2,2,3,3,5,1,1,1
13699,35-44,Male,Some college/Associate,Work full-time for an employer or the military,Divorced/Separated,3,3,3,3,3,3,3,3,3,3,4,5,0,1,1
7267,35-44,Male,High school degree/GED,Refused,Divorced/Separated,3,3,3,3,3,3,3,3,3,3,8,-1,-1,2,2
7375,25-34,Male,High school degree/GED,Work full-time for an employer or the military,Married,3,3,3,3,3,3,3,3,3,3,2,4,8,2,2
10910,25-34,Male,Bachelor's degree,Work full-time for an employer or the military,Married,5,1,1,1,1,1,2,5,2,2,4,6,0,1,1
11079,35-44,Female,Bachelor's degree,Homemaker,Married,1,3,2,3,3,3,3,2,1,4,4,5,0,1,1
7741,25-34,Female,Less than high school,Unemployed or temporarily laid off,Never married,1,2,4,3,3,3,3,3,3,3,1,4,0,3,3
8303,35-44,Female,Less than high school,Homemaker,Married,4,5,2,5,5,2,5,5,4,4,3,4,0,2,1
9688,45-54,Male,High school degree/GED,Work full-time for an employer or the military,Married,3,3,2,3,3,3,2,4,2,2,4,4,0,1,1
13180,18-24,Male,Some college/Associate,Full-time student,Married,5,5,1,5,5,1,1,5,1,1,4,5,0,1,1
7852,18-24,Female,Some college/Associate,Full-time student,Never married,3,4,3,3,4,3,3,4,2,3,3,5,0,1,1
7376,25-34,Male,Bachelor's degree,Work part-time for an employer or the military,Never married,2,2,4,2,4,4,4,2,2,4,1,1,0,1,1
8304,25-34,Male,Graduate/professional degree,Work full-time for an employer or the military,Married,5,4,2,5,2,3,1,4,2,3,4,7,0,1,1
11726,25-34,Male,Less than high school,Work full-time for an employer or the military,Living with partner,4,4,1,4,1,1,2,5,1,3,4,4,0,1,1
11221,18-24,Male,High school degree/GED,Unemployed or temporarily laid off,Never married,1,1,4,1,5,4,4,1,1,4,1,4,0,3,1
8121,18-24,Female,Some college/Associate,Work full-time for an employer or the military,Married,3,3,2,3,3,3,3,3,2,3,3,5,0,1,2
10548,35-44,Female,Some college/Associate,Work full-time for an employer or the military,Married,2,2,2,2,4,5,3,2,4,5,4,3,0,1,1
13389,45-54,Male,Bachelor's degree,Work full-time for an employer or the military,Married,2,3,2,3,3,2,3,3,3,3,3,5,0,1,2
13255,25-34,Female,Some college/Associate,Work full-time for an employer or the military,Living with partner,2,1,3,3,4,5,4,1,4,4,2,4,1,2,3
