CNTSTUID,gender,female,grade,computer,software,internet,desk,own.room,quiet.study,lit,poetry,art,book.sch,tech.book,dict,art.book,ST011Q05TA,ST071Q02NA,ST071Q01NA,ST123Q02NA,ST082Q01NA,ST119Q01NA,ST119Q05NA,ANXTEST,COOPERATE,BELONG,EMOSUPS,WEALTH,PARED,TMINS,ESCS,TEACHSUP,TDTEACH,IBTEACH,SCIEEFF,math,reading,science
79200939,Female,1,Grade 9,0,0,0,1,1,1,1,1,0,1,0,1,0,No,11,7,Strongly agree,Agree,Strongly agree,Strongly agree,1.4394,1.3264,-0.8482,0.5658,-1.7154,12,1560,-1.7902,0.79,0.9505,0.8519,1.8526,361.9234,408.0202,394.2937
79206774,Female,1,Grade 9,1,1,1,1,1,0,1,0,1,1,0,1,0,Yes,NA,5,Strongly agree,Agree,Strongly agree,Agree,0.6654,1.164,-0.7657,1.0991,-1.2426,8,900,-1.8259,1.4475,0.658,-1.0496,-0.2154,325.4144,375.4197,350.5305
79204670,Female,1,Grade 9,0,0,1,1,0,0,1,0,0,0,0,1,0,No,6,4,Agree,Agree,Strongly agree,Strongly agree,1.2704,0.5759,-0.5064,-1.3298,-1.2256,12,1600,-1.2038,-0.1164,0.4505,0.5453,0.5561,365.5649,381.6692,396.2027
79201647,Female,1,Grade 9,1,1,0,1,0,0,1,1,0,0,0,1,0,Yes,6,3,Agree,Disagree,Strongly agree,Strongly agree,2.5493,0.9675,0.3142,-0.3306,-1.8473,16,2280,-0.9068,-0.4527,-0.0057,1.4812,0.5037,333.6344,345.9447,336.387
79203718,Female,1,Grade 9,0,0,0,0,0,0,0,0,0,0,0,1,0,No,6,6,Strongly agree,Disagree,Agree,Strongly agree,1.1311,-0.2882,-0.6925,-0.2495,-4.7851,4,1600,-4.1131,0.2725,0.0615,0.9054,0.1091,381.7032,381.6998,403.6358
79204968,Female,1,Grade 9,0,0,0,1,0,0,0,1,0,0,0,1,0,No,12,6,Disagree,Strongly disagree,Strongly agree,Strongly agree,1.1311,-1.0629,-0.9932,-1.828,-2.8012,14,1495,-1.0631,-1.008,-0.878,0.0441,-1.4295,352.0996,350.1369,393.2887
79200200,Female,1,Grade 9,0,1,0,0,0,1,0,0,0,0,0,1,0,Yes,6,7,Strongly agree,Disagree,Strongly agree,Strongly agree,0.5209,-0.2882,-0.5917,-0.2495,-2.7786,8,1600,-2.7198,1.4475,-0.1503,0.1814,0.3155,341.3526,416.0275,367.6003
79200563,Female,1,Grade 9,1,1,0,0,0,0,0,0,0,1,0,1,0,Yes,6,4,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,0.2013,2.2879,1.5043,0.5658,-2.1982,4,1600,-2.703,1.2445,2.0781,1.7279,0.3441,325.9407,372.3823,351.5209
79200129,Female,1,Grade 10,0,0,0,0,0,1,0,0,0,0,NA,1,0,No,NA,NA,Agree,Disagree,Strongly agree,Strongly agree,0.0031,-1.198,-0.5755,-1.5266,-1.6984,4,NA,-2.7399,-0.2199,0.4505,0.3691,-0.8953,279.1922,347.1087,317.9961
79205586,Female,1,Grade 10,1,NA,1,1,1,1,1,NA,NA,1,NA,1,1,NA,3,10,Strongly agree,Strongly agree,Strongly agree,Strongly agree,1.7952,-0.2882,-0.5156,1.0991,-0.7793,8,1600,-1.9043,1.4475,-0.1495,1.12,0.5008,386.5588,436.7741,418.1155
79202763,Female,1,Grade 10,0,0,1,1,0,1,0,0,0,1,0,0,0,No,6,7,Agree,Agree,Strongly agree,Strongly agree,0.0031,-0.4687,-1.2934,0.1004,-1.617,8,1600,-1.9578,NA,NA,NA,-0.4119,273.5037,362.7816,333.6901
79200454,Female,1,Grade 10,0,0,0,1,0,1,1,1,0,0,0,1,0,No,6,5,Agree,Disagree,Strongly agree,Strongly agree,1.0746,0.395,-0.9806,-0.7526,-2.7721,4,1600,-3.2846,0.1281,-0.4357,0.7504,-0.5731,289.4555,310.0951,309.8622
79202051,Female,1,Grade 10,0,0,0,0,0,0,0,0,0,0,0,1,0,No,11,8,Agree,Disagree,Strongly agree,Strongly agree,2.5493,0.9675,-0.5152,-0.889,-3.1252,4,1120,-3.6485,0.9133,0.4505,0.7388,1.8757,357.1894,427.5632,380.6748
79200652,Female,1,Grade 10,0,1,0,0,0,1,1,1,1,1,0,1,0,Yes,20,15,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,0.7993,-0.7876,-1.1284,-2.339,-3.0865,4,2520,-3.2079,1.4475,2.0781,0.0317,0.3186,391.0285,387.7058,386.3141
79203200,Female,1,Grade 10,0,0,0,1,NA,1,0,0,0,1,0,1,0,No,12,8,Strongly agree,Strongly agree,Strongly agree,Strongly agree,1.7237,-0.1051,-3.1297,0.5658,-1.4185,8,1600,-2.0315,0.5088,0.3199,1.1414,-0.005,310.7298,366.352,354.5695
79201765,Female,1,Grade 10,0,0,0,1,0,1,1,1,0,1,1,0,1,No,19,17,Agree,Strongly agree,Strongly agree,Strongly agree,2.5493,-0.5453,-0.8828,-1.3298,-1.9945,4,1600,-2.9808,0.4124,1.4332,-0.1721,0.0673,378.6402,409.9329,391.728
79204116,Female,1,Grade 10,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,5,5,Strongly agree,Agree,Strongly agree,Strongly agree,-0.3661,0.8242,-0.6334,-0.2495,-3.0569,4,1600,-3.6248,0.4124,-0.8671,1.6244,-0.4689,311.026,368.0945,349.9458
79201666,Female,1,Grade 10,0,0,1,1,1,1,1,1,0,1,1,1,1,No,6,4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,1.3578,1.3264,-3.1297,0.3838,-1.1426,16,1600,-0.9421,NA,NA,NA,1.1967,419.7044,429.9935,439.9121
79200562,Female,1,Grade 10,0,0,0,1,0,1,0,0,0,1,0,1,0,No,5,7,Agree,Strongly agree,Strongly agree,Strongly agree,1.8135,2.2879,0.3665,-0.2511,-2.7552,4,1600,-3.2692,0.7896,0.0615,0.7228,0.5151,339.7692,372.8509,381.0317
79203806,Female,1,Grade 10,1,NA,1,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,5,2,Agree,Strongly agree,Strongly agree,Strongly agree,2.5493,2.2879,-1.7727,-1.9895,-1.1732,16,960,0.4041,1.4475,0.5735,-0.8168,1.7246,322.2182,383.0705,394.662
79203594,Female,1,Grade 10,0,0,0,1,1,1,0,0,0,1,0,1,0,No,5,6,Strongly agree,Disagree,Agree,Strongly agree,2.5493,-0.9705,0.152,1.0991,-1.5202,8,1600,-1.4001,1.4475,-1.7885,2.1533,0.3155,330.4001,402.2712,350.4774
79203253,Female,1,Grade 10,1,0,0,1,0,0,0,0,0,0,0,1,0,No,5,3,Agree,Agree,Strongly agree,NA,1.4098,-1.0033,-0.3381,-1.6136,-2.2314,4,1680,-3.1364,1.4475,-0.3541,0.6067,2.2513,279.2358,354.4143,368.1681
79200569,Female,1,Grade 10,0,1,0,1,0,1,1,1,0,1,0,1,0,Yes,9,6,Agree,Agree,Strongly agree,Strongly agree,-0.1568,-1.0418,-0.3728,-1.3298,-2.1479,16,1600,-1.2581,-0.5383,-0.7899,0.4089,-0.8645,303.1332,308.4109,306.713
79201312,Female,1,Grade 10,0,0,0,1,0,1,0,0,0,0,0,1,0,No,21,20,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,-1.9346,2.2879,1.5043,0.3838,-2.7074,4,1600,-3.3535,1.4475,0.6503,1.9206,1.2081,394.4344,429.6847,422.8828
79201957,Female,1,Grade 10,1,0,0,1,0,0,0,0,0,1,0,1,0,No,5,7,Strongly disagree,Agree,Strongly agree,Strongly agree,-0.1087,2.2879,-0.2061,-2.339,-2.2213,4,1600,-3.0794,1.4475,0.6503,0.4602,-0.0516,355.3998,460.5309,438.4076
79202528,Female,1,Grade 10,1,0,0,0,0,1,0,1,0,0,0,1,0,No,11,15,Strongly agree,Disagree,Strongly agree,Strongly agree,1.0856,-0.2882,-1.1137,0.5658,-2.4633,12,1600,-1.7433,0.8213,0.5245,0.5382,NA,401.7697,425.5803,453.4376
79204170,Female,1,Grade 10,1,0,0,1,1,1,1,NA,0,1,0,1,NA,No,4,3,Strongly agree,Disagree,Agree,Agree,-0.4331,-0.2882,0.6642,0.4662,-2.229,12,2025,-1.5032,1.4475,-0.4258,0.1997,0.3155,372.2325,360.8173,368.1453
79205216,Female,1,Grade 10,0,0,0,0,0,1,0,0,0,0,0,1,0,No,5,7,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,0.206,1.5604,-0.3154,-3.0789,-2.5098,16,1600,-0.9695,1.4475,0.8729,1.702,2.2283,367.1897,413.7906,409.0846
79201177,Female,1,Grade 10,0,1,0,1,0,1,1,1,0,1,0,1,0,Yes,6,7,Strongly agree,Disagree,Strongly agree,Agree,1.1311,-0.8937,-0.9077,1.0991,-2.5211,4,1600,-2.3293,NA,NA,NA,0.9722,295.0214,348.5352,317.182
79206603,Female,1,Grade 10,0,1,0,0,0,0,0,0,0,0,0,0,0,Yes,6,7,Strongly agree,Strongly agree,Strongly agree,Strongly agree,1.3971,0.0647,-1.2802,0.5658,-3.5318,3,1600,-3.759,NA,NA,NA,0.577,351.236,380.9126,382.6589
