item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10,item_11,item_12,item_13,item_14,item_15,item_16,item_17,item_18,item_19,item_20,item_21,item_22,item_23,item_24,item_25,item_26,item_27,item_28,item_29,item_30,item_31,item_32,item_33,item_34,item_35,item_36,item_37,item_38,item_39,item_40,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,rt_15,rt_16,rt_17,rt_18,rt_19,rt_20,rt_21,rt_22,rt_23,rt_24,rt_25,rt_26,rt_27,rt_28,rt_29,rt_30,rt_31,rt_32,rt_33,rt_34,rt_35,rt_36,rt_37,rt_38,rt_39,rt_40
1,9,1,1,9,1,9,0,1,1,0,0,0,9,9,9,0,1,1,9,0,0,1,9,1,1,9,9,9,1,9,9,9,9,0,9,1,1,9,9,4.64,NA,24.645,8.478,NA,9.173,NA,8.784,9.461,8.38,16.99,11.027,14.443,NA,NA,NA,7.76,12.378,7.752,NA,10.613,7.984,16.986,NA,19.487,4.16,NA,NA,NA,10.909,NA,NA,NA,NA,8.889,NA,10.314,10.423,NA,NA
1,9,1,9,9,1,0,9,0,1,9,9,1,9,1,1,0,1,9,0,1,0,1,9,9,9,1,9,9,1,9,1,1,1,9,9,9,1,9,1,9.431,NA,5.263,NA,NA,2.868,15.875,NA,28.365,4.79,NA,NA,9.372,NA,26.323,7.668,6.399,3.158,NA,30,3.217,7.568,4.194,NA,NA,NA,11.997,NA,NA,15.596,NA,5.323,3.876,9.241,NA,NA,NA,6.448,NA,16.422
1,1,9,1,0,9,1,0,9,9,9,9,1,9,9,9,9,9,1,9,9,9,1,9,0,0,9,9,9,9,9,1,0,9,9,0,9,9,9,9,8.116,7.217,NA,9.767,30,NA,17.817,22.066,NA,NA,NA,NA,6.949,NA,NA,NA,NA,NA,11.448,NA,NA,NA,7.983,NA,18.198,16.643,NA,NA,NA,NA,NA,5.3,14.317,NA,NA,14.838,NA,NA,NA,NA
1,1,9,1,1,9,1,9,9,9,1,1,1,9,1,1,9,9,1,9,9,1,1,9,9,1,9,1,1,1,9,1,9,9,0,9,0,9,9,9,30,10.663,NA,11.286,30,NA,16.452,NA,NA,NA,5.875,9.276,3.978,NA,9.343,7.034,NA,NA,11.398,NA,NA,8.64,6.608,NA,NA,5.194,NA,7.994,10.621,16.588,NA,3.808,NA,NA,12.324,NA,5.038,NA,NA,NA
9,9,9,9,9,1,9,9,9,0,0,9,9,9,9,9,9,9,9,0,9,9,9,9,0,1,9,9,0,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,5.95,NA,NA,NA,30,9.519,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,30,22.271,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,0,9,0,0,0,9,1,0,0,9,0,0,0,0,9,0,0,0,0,1,0,1,0,0,1,9,0,0,0,0,0,0,0,0,0,1,1,0,0,NA,13.267,NA,11.534,4.099,3.583,NA,20.783,2.332,3.083,NA,7.583,4.573,6.783,6.05,NA,2.865,9.733,10.984,3.821,5.283,4.944,9.908,12.483,4.859,21.656,NA,1.733,3.964,2.233,4.45,5.925,3.469,9.332,4.416,5.682,8.598,5.467,2.845,17.066
1,9,9,9,9,9,9,1,1,9,1,9,9,9,1,1,9,9,1,0,9,9,9,9,9,9,1,9,9,9,9,9,9,1,9,9,9,1,1,0,8.778,NA,NA,NA,NA,NA,NA,15.662,8.901,NA,10.786,NA,NA,NA,30,29.947,NA,NA,15.504,23.626,NA,NA,NA,NA,NA,NA,28.508,NA,NA,NA,NA,NA,NA,9.299,NA,NA,NA,11.111,18.253,21.92
1,9,9,9,9,1,9,0,9,0,9,9,9,9,0,9,0,9,0,9,1,9,9,9,9,9,0,9,9,9,9,9,0,0,9,0,9,1,0,0,9.49,NA,NA,NA,NA,7.596,NA,26.152,NA,11.591,NA,NA,NA,NA,21.081,NA,9.25,NA,8.233,NA,10.544,NA,NA,NA,NA,NA,16.244,NA,NA,NA,NA,NA,30,26.298,NA,19.9,NA,7.673,23.874,7.918
9,9,9,0,0,9,9,0,9,9,9,9,9,0,9,9,9,0,9,9,9,0,9,9,0,9,9,9,9,9,0,9,0,9,9,1,9,9,0,9,NA,NA,NA,23.563,6.01,NA,NA,12.049,NA,NA,NA,NA,NA,30,NA,NA,NA,26.714,NA,NA,NA,16.169,NA,NA,29.638,NA,NA,NA,NA,NA,12.218,NA,26.777,NA,NA,15.722,NA,NA,23.223,NA
1,1,1,0,0,1,9,1,9,0,0,9,9,9,1,1,9,1,1,9,9,1,1,1,0,1,9,9,1,1,1,1,0,1,0,9,1,9,1,9,3.704,6.768,4.615,6.638,9.486,5.554,NA,10.895,NA,11.702,9.518,NA,NA,NA,13.202,17.234,NA,8.957,28.361,NA,NA,5.909,6.594,4.989,9.035,4.864,NA,NA,9.293,15.483,6.848,3.343,11.41,13.067,5.829,NA,3.334,NA,10.139,NA
9,9,9,9,1,9,1,9,9,1,1,9,1,9,1,9,1,1,9,9,1,9,9,9,0,9,1,9,1,1,9,1,1,1,9,1,9,9,9,9,NA,NA,NA,NA,15.652,NA,7.939,NA,NA,14.205,23.19,NA,8.621,NA,16.374,NA,9.19,12.597,NA,NA,23.367,NA,NA,NA,25.328,NA,13.618,NA,8.757,12.791,NA,5.113,13.631,29.484,NA,22.323,NA,NA,NA,NA
1,1,0,1,1,1,1,9,1,9,1,1,9,1,1,9,1,1,9,9,1,1,9,1,0,9,9,9,1,1,1,9,1,1,9,9,1,9,1,1,3.677,9.719,0.422,17.546,14.837,3.116,4.547,NA,24.28,NA,15.49,5.041,NA,20.363,7.775,NA,6.525,2.673,NA,NA,4.15,7.98,NA,17.049,12.212,NA,NA,NA,4.841,6.368,4.854,NA,9.141,4.434,NA,NA,3.123,NA,26.265,8.057
1,1,9,1,0,9,1,9,1,9,0,9,9,1,1,1,1,0,1,9,9,9,1,9,9,1,1,1,1,9,1,1,9,1,9,0,1,1,9,9,3.219,12.479,NA,7.498,11.948,NA,7.894,NA,21.753,NA,10.387,NA,NA,6.152,15.66,5.933,10.731,14.481,8.534,NA,NA,NA,7.823,NA,NA,8.628,8.444,7.464,13.385,NA,6.3,7.137,NA,10.55,NA,29.659,5.13,5.567,NA,NA
1,0,1,9,9,9,9,9,9,0,0,1,1,9,9,9,9,9,9,9,9,9,1,9,0,9,9,9,9,9,9,9,0,9,9,9,9,9,0,9,20.358,9.032,17.937,NA,NA,NA,NA,NA,NA,23.972,30,22.983,7.645,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.974,NA,30,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,8.284,NA
0,0,0,9,9,9,9,9,0,0,0,9,9,9,0,0,9,9,9,9,0,0,9,9,0,9,9,0,9,9,9,9,9,0,9,9,9,0,9,9,22.957,17.565,16.111,NA,NA,NA,NA,NA,24.666,19.801,26.355,NA,NA,NA,26.29,24.885,NA,NA,NA,NA,19.102,12.023,NA,NA,5.317,NA,NA,22.264,NA,NA,NA,NA,NA,4.333,NA,NA,NA,5.908,NA,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0.554,0.368,1.012,0.817,0.77,1.811,1.081,0.823,1.038,0.682,0.654,3.683,1.098,0.854,0.852,6.849,1.365,1.494,0.917,3.08,0.62,3.439,0.777,0.266,0.293,0.76,10.633,1.196,0.724,0.921,0.593,5.473,0.344,1.133,0.713,3.455,4.148,1.447,0.903,2.089
9,9,9,9,9,9,9,9,9,0,0,9,9,9,9,1,1,9,9,9,0,1,9,9,9,9,9,9,0,0,9,9,9,9,9,9,9,9,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.543,16.529,NA,NA,NA,NA,26.481,20.882,NA,NA,NA,17.211,30,NA,NA,NA,NA,NA,NA,10.708,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.939
9,9,9,9,9,9,1,9,9,0,1,9,9,9,0,1,1,1,9,0,1,9,1,9,9,9,9,9,9,0,9,1,1,1,1,1,9,9,9,9,NA,NA,NA,NA,NA,NA,10.171,NA,NA,8.306,7.921,NA,NA,NA,30,8.083,5.969,30,NA,16,5.461,NA,12.269,NA,NA,NA,NA,NA,NA,14.363,NA,7.129,13.99,12.486,9.556,27.049,NA,NA,NA,NA
9,9,9,9,9,9,9,9,0,9,1,9,9,0,0,0,9,9,9,9,9,9,9,9,0,9,9,9,0,9,9,9,9,9,9,9,1,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,30,NA,NA,28.736,30,30,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,24.972,NA,NA,NA,NA,NA,NA,NA,9.045,NA,NA,NA
9,1,9,9,0,9,1,9,9,0,9,1,0,9,9,9,9,9,9,0,9,9,9,1,9,9,9,0,9,0,1,1,9,1,0,0,9,9,9,9,NA,8.9,NA,NA,23.097,NA,5.514,NA,NA,12,NA,6.432,17.635,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,14.263,NA,NA,NA,7.671,NA,16.565,30,7.218,NA,16.049,19.817,9.525,NA,NA,NA,NA
1,1,1,1,9,9,9,9,9,1,1,9,9,9,9,1,9,9,1,9,0,9,9,1,9,0,0,0,1,1,9,9,9,1,9,9,1,1,9,1,4.327,8.099,19.728,14.979,NA,NA,NA,NA,NA,20.084,13.491,NA,NA,NA,NA,14.022,NA,NA,15.003,NA,17.084,NA,NA,8.578,NA,10.392,10.942,7.942,12.251,14.62,NA,NA,NA,8.631,NA,NA,9.483,11.447,NA,23.059
9,1,1,1,9,9,9,1,9,9,9,9,9,0,9,9,0,1,9,9,9,1,9,1,9,9,0,9,9,9,9,0,9,9,9,1,1,1,9,9,NA,30,7.805,21.802,NA,NA,NA,12.436,NA,NA,NA,NA,NA,16.679,NA,NA,17.517,19.634,NA,NA,NA,11.273,NA,24.541,NA,NA,20.603,NA,NA,NA,NA,14.201,NA,NA,NA,14.639,10.568,10.128,NA,NA
