item,question
ST082Q01,I prefer working as part of a team to working alone.
ST082Q02,I am a good listener.
ST082Q03,I enjoy seeing my classmates be successful.
ST082Q08,I take into account what others are interested in.
ST082Q09,I find that teams make better decisions than individuals.
ST082Q12,I enjoy considering different perspectives.
ST082Q13,I find that teamwork raises my own efficiency.
ST082Q14,I enjoy cooperating with peers.
ST034Q02,I make friends easily at school.
ST034Q05,Other students seem to like me.
