gender,grade,computer,internet,desk,own.room,quiet.study,book.sch,tech.book,art.book,reading
Female,Grade 9,0,0,1,1,1,1,0,0,408.0202
Female,Grade 9,1,1,1,1,0,1,0,0,375.4197
Female,Grade 9,0,1,1,0,0,0,0,0,381.6692
Female,Grade 9,1,0,1,0,0,0,0,0,345.9447
Female,Grade 9,0,0,0,0,0,0,0,0,381.6998
Female,Grade 9,0,0,1,0,0,0,0,0,350.1369
Female,Grade 9,0,0,0,0,1,0,0,0,416.0275
Female,Grade 9,1,0,0,0,0,1,0,0,372.3823
Female,Grade 10,0,0,0,0,1,0,NA,0,347.1087
Female,Grade 10,1,1,1,1,1,1,NA,1,436.7741
Female,Grade 10,0,1,1,0,1,1,0,0,362.7816
Female,Grade 10,0,0,1,0,1,0,0,0,310.0951
Female,Grade 10,0,0,0,0,0,0,0,0,427.5632
Female,Grade 10,0,0,0,0,1,1,0,0,387.7058
Female,Grade 10,0,0,1,NA,1,1,0,0,366.352
Female,Grade 10,0,0,1,0,1,1,1,1,409.9329
Female,Grade 10,0,0,0,0,0,0,0,NA,368.0945
Female,Grade 10,0,1,1,1,1,1,1,1,429.9935
Female,Grade 10,0,0,1,0,1,1,0,0,372.8509
Female,Grade 10,1,1,1,1,1,NA,NA,NA,383.0705
Female,Grade 10,0,0,1,1,1,1,0,0,402.2712
Female,Grade 10,1,0,1,0,0,0,0,0,354.4143
Female,Grade 10,0,0,1,0,1,1,0,0,308.4109
Female,Grade 10,0,0,1,0,1,0,0,0,429.6847
Female,Grade 10,1,0,1,0,0,1,0,0,460.5309
Female,Grade 10,1,0,0,0,1,0,0,0,425.5803
Female,Grade 10,1,0,1,1,1,1,0,NA,360.8173
Female,Grade 10,0,0,0,0,1,0,0,0,413.7906
Female,Grade 10,0,0,1,0,1,1,0,0,348.5352
Female,Grade 10,0,0,0,0,0,0,0,0,380.9126
Female,Grade 10,1,1,1,0,0,0,0,0,404.3802
Female,Grade 10,0,0,1,1,1,1,1,0,481.2277
Female,Grade 10,0,0,0,0,0,0,0,0,419.5624
Female,Grade 11,1,0,0,0,0,1,0,0,318.2494
Female,Grade 11,0,0,1,0,1,1,0,0,437.4443
Female,Grade 10,0,0,1,1,0,1,0,0,369.2079
Female,Grade 11,0,0,1,1,1,1,0,0,442.8705
Female,Grade 11,0,1,1,0,1,1,0,0,497.1813
Female,Grade 9,0,0,1,0,1,0,0,0,411.0822
Male,Grade 9,0,0,0,0,1,0,0,0,310.7074
Female,Grade 9,0,0,1,0,1,1,0,0,356.5166
Male,Grade 9,0,0,0,0,1,0,0,0,402.6094
Female,Grade 9,0,0,1,1,1,1,1,1,287.6662
Male,Grade 9,0,0,0,0,1,1,0,0,331.15
Male,Grade 9,0,0,0,0,1,0,0,0,407.772
Male,Grade 9,1,1,1,1,1,1,1,NA,357.9669
Male,Grade 9,0,0,0,0,1,1,0,0,335.521
Male,Grade 9,0,0,NA,0,0,1,0,0,396.4678
Male,Grade 9,1,0,1,0,1,1,1,1,383.7872
Male,Grade 9,1,1,1,0,1,1,0,1,429.8752
Female,Grade 10,0,0,1,1,0,1,0,1,368.9848
Male,Grade 10,0,0,1,1,1,1,0,0,381.6849
Female,Grade 10,0,0,1,0,1,1,0,0,436.0552
Female,Grade 10,0,0,1,0,0,0,0,0,403.5327
Male,Grade 10,0,0,1,1,0,1,0,0,344.2425
Male,Grade 10,0,0,1,0,0,0,0,0,437.2706
Male,Grade 10,0,0,0,0,0,1,1,0,286.3802
Male,Grade 10,0,0,1,0,1,1,0,0,373.5493
Male,Grade 10,0,0,1,0,1,1,0,1,432.0988
Male,Grade 10,0,0,1,1,1,0,0,0,363.8437
Male,Grade 10,0,0,0,0,0,1,0,0,410.3646
Male,Grade 10,0,0,1,1,1,0,0,0,312.5342
Male,Grade 10,0,0,1,0,0,1,0,0,391.5497
Male,Grade 10,0,0,1,0,0,0,0,0,299.7664
Male,Grade 10,0,0,0,0,0,0,0,0,365.9095
Male,Grade 10,0,0,1,0,1,1,0,0,328.7244
Male,Grade 10,1,1,1,0,1,1,0,1,419.5441
Male,Grade 10,0,0,1,1,1,0,0,0,422.5234
Male,Grade 10,0,0,0,1,1,0,0,0,426.4956
Female,Grade 11,0,0,1,0,1,0,1,0,311.054
Male,Grade 11,1,1,1,0,1,1,0,1,434.6563
Female,Grade 9,1,1,1,1,1,1,1,1,504.2414
Male,Grade 9,1,1,1,0,1,1,0,0,409.7443
Male,Grade 9,1,1,1,0,0,1,0,1,526.6372
Male,Grade 9,1,1,1,1,1,1,1,1,372.8409
Male,Grade 9,1,1,1,1,1,1,1,0,467.2928
Male,Grade 9,1,1,1,1,1,0,1,1,433.9867
Female,Grade 10,1,1,1,1,1,1,0,0,474.309
Female,Grade 10,1,1,1,1,1,1,1,0,425.3031
Female,Grade 10,1,1,1,1,1,1,1,1,414.6954
Female,Grade 10,1,1,1,1,1,1,1,1,464.8999
